"","GeoFIPS","GeoName","Region","Year","Quarter","GDP_All","GDP_Pri","GDP_Gov","PI","PCPI","Civ_Pop","Civ_LF","Civ_LFP","Civ_E","Civ_EP","Civ_UE","Civ_UEP","text_gdp","rdate_gdp","dow_gdp","text_pi","rdate_pi","dow_pi","text_ue","rdate_ue","dow_ue"
"28",38000,"North Dakota",4,2005,1,24201,20389,3812,19858856,NA,"490,930   ","354,166   ",72.1,"342,061   ",69.7,"12,105   ",3.4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"29",47000,"Tennessee",5,2005,1,225481,197905,27576,185954016,NA,"4,586,532   ","2,875,144   ",62.7,"2,707,069   ",59,"168,075   ",5.8,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"30",42000,"Pennsylvania",2,2005,1,494775,440287,54489,436798952,NA,"9,682,205   ","6,240,540   ",64.5,"5,922,132   ",61.2,"318,408   ",5.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"31",51000,"Virginia",5,2005,1,348622,284119,64504,295600704,NA,"5,679,045   ","3,862,729   ",68,"3,721,693   ",65.5,"141,036   ",3.7,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"32",39000,"Ohio",3,2005,1,461751,408610,53141,367855712,NA,"8,806,322   ","5,878,217   ",66.7,"5,518,660   ",62.7,"359,557   ",6.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"33",12000,"Florida",5,2005,1,680865,602110,78756,627799608,NA,"13,796,773   ","8,634,203   ",62.6,"8,289,886   ",60.1,"344,317   ",4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"34",28000,"Mississippi",5,2005,1,80675,66270,14405,75512100,NA,"2,146,056   ","1,320,793   ",61.5,"1,230,847   ",57.4,"89,946   ",6.8,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"35",17000,"Illinois",3,2005,1,581113,519740,61373,466556044,NA,"9,591,812   ","6,375,029   ",66.5,"6,001,015   ",62.6,"374,014   ",5.9,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"36",4000,"Arizona",6,2005,1,218140,190077,28063,181517168,NA,"4,415,083   ","2,850,322   ",64.6,"2,716,254   ",61.5,"134,068   ",4.7,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"37",13000,"Georgia",5,2005,1,369636,320272,49364,286446348,NA,"6,697,423   ","4,542,954   ",67.8,"4,298,980   ",64.2,"243,974   ",5.4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"38",54000,"West Virginia",5,2005,1,51654,42349,9305,47046484,NA,"1,433,705   ","785,190   ",54.8,"744,977   ",52,"40,213   ",5.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"39",41000,"Oregon",8,2005,1,145726,126862,18864,115253624,NA,"2,808,757   ","1,838,506   ",65.5,"1,722,160   ",61.3,"116,346   ",6.3,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"40",31000,"Nebraska",4,2005,1,72758,62802,9957,60094812,NA,"1,320,998   ","973,152   ",73.7,"934,756   ",70.8,"38,396   ",3.9,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"41",46000,"South Dakota",4,2005,1,31205,27086,4119,25536332,NA,"587,282   ","429,930   ",73.2,"412,722   ",70.3,"17,208   ",4,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"42",55000,"Wisconsin",3,2005,1,223929,198804,25125,187093876,NA,"4,272,766   ","3,011,044   ",70.5,"2,871,181   ",67.2,"139,863   ",4.6,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"43",23000,"Maine",1,2005,1,45454,38966,6488,41798504,NA,"1,040,705   ","693,093   ",66.6,"658,730   ",63.3,"34,363   ",5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"44",48000,"Texas",6,2005,1,972192,860604,111588,735183688,NA,"16,522,317   ","11,080,179   ",67.1,"10,469,293   ",63.4,"610,886   ",5.5,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"45",11000,"District of Columbia",2,2005,1,82774,53347,29427,29699504,NA,"465,451   ","317,153   ",68.1,"294,684   ",63.3,"22,469   ",7.1,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"46",20000,"Kansas",4,2005,1,104708,89971,14738,89672416,NA,"2,062,079   ","1,465,501   ",71.1,"1,389,421   ",67.4,"76,080   ",5.2,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"47",8000,"Colorado",7,2005,1,218517,189391,29126,174661676,NA,"3,527,977   ","2,551,724   ",72.3,"2,419,795   ",68.6,"131,929   ",5.2,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"48",45000,"South Carolina",5,2005,1,142099,118952,23146,122692224,NA,"3,215,032   ","2,053,832   ",63.9,"1,916,850   ",59.6,"136,982   ",6.7,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"49",49000,"Utah",7,2005,1,91343,77672,13672,69595112,NA,"1,762,308   ","1,257,287   ",71.3,"1,204,161   ",68.3,"53,126   ",4.2,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"50",26000,"Michigan",3,2005,1,396299,351511,44789,327913076,NA,"7,726,034   ","5,078,493   ",65.7,"4,726,978   ",61.2,"351,515   ",6.9,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"51",15000,"Hawaii",8,2005,1,56803,44506,12297,45046200,NA,"948,653   ","620,868   ",65.4,"602,551   ",63.5,"18,317   ",3,"Gross State Product, 2005; Revised Gross State Product, 2002-2004","6/6/2006 8:30","Tuesday","State Personal Income: First Quarter 2005 released June 22nd, 2005","6/22/2005 8:30","Wednesday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2005","4/22/2005 10:00","Friday"
"52",8000,"Colorado",7,2006,1,230722,201193,29529,189583172,NA,"3,601,065   ","2,604,768   ",72.3,"2,491,156   ",69.2,"113,612   ",4.4,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"53",13000,"Georgia",5,2006,1,387727,336564,51163,309950736,NA,"6,868,440   ","4,664,491   ",67.9,"4,441,660   ",64.7,"222,831   ",4.8,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"54",25000,"Massachusetts",1,2006,1,353327,314297,39030,302104784,NA,"5,084,043   ","3,395,264   ",66.8,"3,229,640   ",63.5,"165,624   ",4.9,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"55",1000,"Alabama",5,2006,1,162683,137015,25667,144486460,NA,"3,510,348   ","2,156,710   ",61.4,"2,069,546   ",59,"87,164   ",4,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"56",12000,"Florida",5,2006,1,735255,654321,80934,693367796,NA,"14,102,496   ","8,904,085   ",63.1,"8,624,777   ",61.2,"279,308   ",3.1,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"57",21000,"Kentucky",5,2006,1,150287,128311,21977,127358552,NA,"3,235,660   ","2,015,994   ",62.3,"1,899,649   ",58.7,"116,345   ",5.8,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"58",20000,"Kansas",4,2006,1,110488,94772,15716,97250924,NA,"2,076,427   ","1,462,577   ",70.4,"1,397,300   ",67.3,"65,277   ",4.5,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
"59",11000,"District of Columbia",2,2006,1,87179,56128,31050,32341068,NA,"469,395   ","313,968   ",66.9,"295,785   ",63,"18,183   ",5.8,"Gross Domestic Product by State, advance 2006 total and NAICS sector-level; Revised 2003-2005 NAICS industry-level GDP by state","6/7/2007 8:30","Thursday","State Personal Income: First Quarter 2006 released June 22nd, 2006","6/22/2006 8:30","Thursday","REGIONAL AND STATE EMPLOYMENT AND UNEMPLOYMENT:  MARCH 2006","4/21/2006 10:00","Friday"
